Project_ID,Project_Name,Location,Energy_Generated_kWh,Weather_Score,Grid_Emission_Factor,CO2_Reduced_tons
SOL001,Solar Park Pune,Pune,10500,0.85,0.82,8.61
SOL002,Solar Field Nashik,Nashik,8200,0.88,0.8,6.56
SOL003,Solar Plant Kolhapur,Kolhapur,12000,0.76,0.84,9.03
SOL004,Community Solar Mumbai,Mumbai,6700,0.92,0.78,5.22
SOL005,Small Rooftop Satara,Satara,9800,0.83,0.81,7.94
SOL006,Industrial Solar Aurangabad,Aurangabad,15000,0.81,0.83,11.25
SOL007,School Rooftop Pune,Pune,3500,0.9,0.8,2.72
SOL008,Solar Microgrid Nagpur,Nagpur,5000,0.87,0.79,3.89
SOL009,Solar Array Amravati,Amravati,11200,0.77,0.82,8.45
SOL010,Urban Solar Thane,Thane,7300,0.89,0.8,5.91
WIND001,Wind Park Solapur,Solapur,15000,0.7,0.82,12.3
WIND002,Wind Small Ratnagiri,Ratnagiri,9000,0.78,0.79,7.11
WIND003,Coastal Wind Sindhudurg,Sindhudurg,16500,0.74,0.81,13.02
WIND004,Hilltop Wind Satara,Satara,11800,0.75,0.82,9.1
WIND005,Wind Turbine Nashik,Nashik,9500,0.77,0.8,7.22
WIND006,Wind Project Ahmednagar,Ahmednagar,12300,0.72,0.83,9.45
HYDRO001,Micro Hydro Satara,Satara,5000,0.75,0.8,3.9
HYDRO002,Small Hydro Pune,Pune,8400,0.78,0.81,6.3
HYDRO003,Reservoir Hydro Nagpur,Nagpur,12500,0.73,0.83,9.12
HYDRO004,Canal Hydro Nashik,Nashik,7200,0.77,0.79,5.55
HYDRO005,Hydro Dam Kolhapur,Kolhapur,15000,0.7,0.84,11.22
BIO001,Biomass Unit Sangli,Sangli,1300,0.88,0.9,1.17
BIO002,Biogas Plant Pune,Pune,2400,0.91,0.87,2.04
BIO003,Biomass Power Jalgaon,Jalgaon,7200,0.82,0.85,5.95
BIO004,Bioenergy Kolhapur,Kolhapur,4100,0.89,0.84,3.11
FOR001,Afforestation Kolhapur,Kolhapur,0,0.65,0.0,8.0
FOR002,Community Forest Pune,Pune,0,0.68,0.0,10.5
FOR003,Mangrove Restoration Ratnagiri,Ratnagiri,0,0.72,0.0,12.1
FOR004,Tree Plantation Nashik,Nashik,0,0.66,0.0,9.8
FOR005,Urban Green Belt Mumbai,Mumbai,0,0.74,0.0,11.0
SOL0011,Solar Project Nanded 11,Nanded,9948,0.92,0.79,7.88
WIND0007,Wind Farm Nashik 7,Nashik,12314,0.83,0.83,10.16
SOL0012,Solar Project Nashik 12,Nashik,9466,0.86,0.84,7.94
SOL0013,Solar Project Thane 13,Thane,12077,0.89,0.78,9.41
SOL0014,Solar Project Solapur 14,Solapur,9444,0.81,0.81,7.68
WIND0008,Wind Farm Nashik 8,Nashik,12448,0.69,0.82,10.18
SOL0015,Solar Project Mumbai 15,Mumbai,9190,0.88,0.81,7.42
SOL0016,Solar Project Solapur 16,Solapur,8934,0.8,0.81,7.21
WIND0009,Wind Farm Sindhudurg 9,Sindhudurg,12156,0.77,0.78,9.54
WIND0010,Wind Farm Satara 10,Satara,14138,0.76,0.83,11.7
FOR0006,Afforestation Thane 6,Thane,0,0.66,0.7,11.66
SOL0017,Solar Project Solapur 17,Solapur,7924,0.77,0.82,6.53
SOL0018,Solar Project Pune 18,Pune,8913,0.84,0.78,6.94
SOL0019,Solar Project Kolhapur 19,Kolhapur,7409,0.9,0.83,6.14
HYDRO0006,Hydro Station Kolhapur 6,Kolhapur,9888,0.77,0.79,7.83
SOL0020,Solar Project Amravati 20,Amravati,8776,0.9,0.84,7.41
SOL0021,Solar Project Kolhapur 21,Kolhapur,6924,0.85,0.83,5.74
WIND0011,Wind Farm Pune 11,Pune,13693,0.74,0.79,10.83
SOL0022,Solar Project Nagpur 22,Nagpur,14267,0.8,0.79,11.33
WIND0012,Wind Farm Satara 12,Satara,13136,0.76,0.82,10.8
HYDRO0007,Hydro Station Nashik 7,Nashik,11178,0.76,0.8,8.94
BIO0005,BioEnergy Jalgaon 5,Jalgaon,5016,0.86,0.85,4.28
SOL0023,Solar Project Pune 23,Pune,10700,0.78,0.79,8.48
WIND0013,Wind Farm Nashik 13,Nashik,11740,0.7,0.83,9.72
SOL0024,Solar Project Nanded 24,Nanded,9430,0.75,0.79,7.46
FOR0007,Afforestation Nashik 7,Nashik,0,0.76,0.7,8.92
HYDRO0008,Hydro Station Kolhapur 8,Kolhapur,9610,0.85,0.81,7.75
SOL0025,Solar Project Solapur 25,Solapur,9603,0.95,0.77,7.41
WIND0014,Wind Farm Pune 14,Pune,11337,0.79,0.79,9.0
WIND0015,Wind Farm Ahmednagar 15,Ahmednagar,14576,0.81,0.8,11.69
HYDRO0009,Hydro Station Satara 9,Satara,7684,0.73,0.81,6.24
HYDRO0010,Hydro Station Nagpur 10,Nagpur,8577,0.79,0.82,7.05
SOL0026,Solar Project Nagpur 26,Nagpur,10073,0.8,0.82,8.28
SOL0027,Solar Project Solapur 27,Solapur,8678,0.81,0.82,7.15
WIND0016,Wind Farm Sindhudurg 16,Sindhudurg,11562,0.72,0.81,9.37
SOL0028,Solar Project Pune 28,Pune,9756,0.86,0.83,8.05
SOL0029,Solar Project Kolhapur 29,Kolhapur,10632,0.87,0.8,8.55
BIO0006,BioEnergy Kolhapur 6,Kolhapur,5678,0.89,0.88,4.98
SOL0030,Solar Project Thane 30,Thane,9350,0.79,0.83,7.77
SOL0031,Solar Project Pune 31,Pune,11650,0.85,0.8,9.35
SOL0032,Solar Project Amravati 32,Amravati,10927,0.87,0.83,9.03
SOL0033,Solar Project Kolhapur 33,Kolhapur,12794,0.78,0.82,10.55
WIND0017,Wind Farm Ahmednagar 17,Ahmednagar,13818,0.74,0.83,11.53
WIND0018,Wind Farm Solapur 18,Solapur,13307,0.78,0.79,10.55
SOL0034,Solar Project Kolhapur 34,Kolhapur,8977,0.86,0.82,7.38
HYDRO0011,Hydro Station Kolhapur 11,Kolhapur,8860,0.75,0.82,7.31
FOR0008,Afforestation Ratnagiri 8,Ratnagiri,0,0.66,0.7,10.33
SOL0035,Solar Project Latur 35,Latur,5502,0.86,0.82,4.5
WIND0019,Wind Farm Kolhapur 19,Kolhapur,13453,0.7,0.78,10.55
SOL0036,Solar Project Latur 36,Latur,7498,0.89,0.83,6.23
HYDRO0012,Hydro Station Kolhapur 12,Kolhapur,8277,0.68,0.82,6.81
SOL0037,Solar Project Nagpur 37,Nagpur,6128,0.92,0.81,4.96
WIND0020,Wind Farm Sindhudurg 20,Sindhudurg,10771,0.67,0.81,8.76
SOL0038,Solar Project Thane 38,Thane,7288,0.86,0.81,5.92
SOL0039,Solar Project Latur 39,Latur,8056,0.9,0.81,6.54
HYDRO0013,Hydro Station Nashik 13,Nashik,7524,0.75,0.82,6.17
BIO0007,BioEnergy Kolhapur 7,Kolhapur,6397,0.86,0.86,5.49
SOL0040,Solar Project Latur 40,Latur,8028,0.81,0.84,6.77
SOL0041,Solar Project Pune 41,Pune,5902,0.83,0.81,4.8
WIND0021,Wind Farm Nashik 21,Nashik,13367,0.68,0.85,11.32
SOL0042,Solar Project Kolhapur 42,Kolhapur,8525,0.94,0.81,6.9
WIND0022,Wind Farm Solapur 22,Solapur,11101,0.86,0.8,8.88
SOL0043,Solar Project Aurangabad 43,Aurangabad,8120,0.86,0.84,6.81
WIND0023,Wind Farm Solapur 23,Solapur,10346,0.85,0.82,8.47
WIND0024,Wind Farm Pune 24,Pune,14259,0.78,0.82,11.76
SOL0044,Solar Project Kolhapur 44,Kolhapur,12618,0.87,0.83,10.51
BIO0008,BioEnergy Pune 8,Pune,3597,0.85,0.85,3.05
SOL0045,Solar Project Nashik 45,Nashik,6465,0.83,0.81,5.26
SOL0046,Solar Project Latur 46,Latur,6750,0.91,0.81,5.46
